"pid","grp","duration","entry","exit"
16,"inactive",0,0,20
30,"inactive",0,0,25
40,"inactive",1,1,24
43,"inactive",1,1,24
45,"inactive",1,1,22
46,"inactive",1,1,27
49,"inactive",1,1,21
61,"inactive",1,1,27
64,"inactive",1,1,29
69,"inactive",1,1,25
70,"inactive",1,1,29
77,"inactive",2,2,29
79,"inactive",2,2,28
81,"inactive",2,2,27
84,"inactive",2,2,29
97,"inactive",2,2,27
100,"inactive",2,2,36
101,"inactive",2,2,29
106,"inactive",3,3,36
120,"inactive",3,3,32
132,"inactive",3,3,35
138,"inactive",4,4,33
145,"inactive",4,4,34
175,"inactive",5,5,37
183,"inactive",5,5,42
184,"inactive",5,5,38
190,"inactive",5,5,47
193,"inactive",5,5,42
198,"inactive",5,5,43
202,"inactive",5,5,43
204,"inactive",5,5,44
219,"inactive",6,6,43
222,"inactive",6,6,42
225,"inactive",6,6,42
231,"inactive",6,6,44
237,"inactive",6,6,50
239,"inactive",6,6,44
268,"inactive",7,7,50
289,"inactive",8,8,51
295,"inactive",9,9,55
302,"inactive",9,9,52
307,"inactive",9,9,53
315,"inactive",10,10,56
319,"inactive",10,10,56
327,"inactive",10,10,61
340,"inactive",10,10,62
351,"inactive",11,11,58
357,"inactive",11,11,65
369,"inactive",11,11,63
370,"inactive",11,11,61
373,"inactive",11,11,68
380,"inactive",12,12,64
386,"inactive",12,12,67
392,"inactive",12,12,64
419,"inactive",13,13,67
427,"inactive",13,13,67
429,"inactive",13,13,76
434,"inactive",14,14,73
436,"inactive",14,14,70
455,"inactive",14,14,76
457,"inactive",14,14,82
458,"inactive",14,14,80
468,"inactive",15,15,79
470,"inactive",15,15,76
473,"inactive",15,15,73
497,"inactive",16,16,80
505,"inactive",16,16,83
525,"inactive",17,17,81
537,"inactive",18,18,88
555,"inactive",18,18,85
560,"inactive",18,18,85
565,"inactive",19,19,92
581,"inactive",19,19,90
584,"inactive",19,19,87
605,"inactive",20,20,95
617,"inactive",20,20,95
620,"inactive",20,20,96
621,"inactive",20,20,91
625,"inactive",20,20,96
628,"inactive",20,20,101
632,"inactive",21,21,97
637,"inactive",21,21,95
638,"inactive",21,21,102
650,"inactive",21,21,96
651,"inactive",21,21,94
656,"inactive",22,22,100
658,"inactive",22,22,97
665,"inactive",22,22,106
672,"inactive",22,22,104
676,"inactive",22,22,101
680,"inactive",22,22,107
682,"inactive",22,22,99
701,"inactive",23,23,110
